"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-23",,,"10.2",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-24",,,"2.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-25",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-26",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-27",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-02-29",,,"10.7",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-01",,,"0.8",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-02",,,"0.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-03",,,"0.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-04",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-05",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-06",,,"13.2",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-07",,,"0.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-08",,,"4.1",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-09",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-10",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-12",,,"1.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-13",,,"0.8",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-14",,,"0.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-15",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-16",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-17",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-18",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-19",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-20",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-21",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-22",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-23",,,"0.0","0.0",,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-24",,,"1.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-25",,,"0.3",,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.66677","-122.92866","202.7","2020-03-26",,,"0.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-01",,,"3.8",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-02",,,"8.4",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-03",,,"4.8",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-06",,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-07",,,"12.2",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-08",,,"1.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-09",,,"1.0","0.0","0.0",,,,,"0.0","0.0"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-10",,,"3.8","0.0",,,,,,,"0.0"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-11",,,"10.9",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-12",,,"3.0",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-13",,,"2.8","25.0","25.0",,,,,"2.8","2.8"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-14",,,"4.8","25.0","38.0",,,,,"7.1","4.8"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-15",,,"0.3","5.0","38.0",,,,,"6.4","0.3"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-16",,,"1.8","0.0","13.0",,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-17",,,"0.3","0.0","0.0",,,,,,"0.0"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-18",,,"11.4",,"0.0",,,,,"0.0",
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-19",,,"1.0",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-20",,,"2.0",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-21",,,"5.6",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-22",,,"19.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-23",,,"11.4",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-24",,,"20.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-25",,,"10.2",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-26",,,"6.6",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-27",,,"4.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-28",,,"24.9",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-29",,,"1.3",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-30",,,"5.1",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-01-31",,,"5.6",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-02-01",,,"36.6",,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2020-02-02",,,"0.3",,,,,,,,
